"Year","Month","Commercial Imports","Government Imports","Total","Domestic FOB","Re-Exports","Total FOB","Trade Balance"
"2016","October","111,509.96","3,667.84","115,177.80","35,581.26","6,508.13","42,089.39","-73,088.41"
"2016","September","120,293.68","4,133.47","124,427.15","40,276.61","5,927.69","46,204.31","-78,222.84"
"2016","August","130,795.00","2,208.73","133,003.72","41,123.68","5,907.54","47,031.22","-85,972.51"
"2016","July","114,676.36","2,644.55","117,320.91","41,009.16","7,037.22","48,046.37","-69,274.54"
"2016","June","125,457.70","1,859.64","127,317.35","42,940.90","5,272.14","48,213.04","-79,104.30"
"2016","May","112,463.14","3,687.34","116,150.48","45,498.10","4,363.61","49,861.71","-66,288.77"
"2016","April","120,449.74","4,466.50","124,916.24","43,133.90","3,463.50","46,597.41","-78,318.83"
"2016","March","112,385.67","2,035.02","114,420.69","46,509.30","7,520.30","54,029.60","-60,391.09"
"2016","February","99,642.47","920.66","100,563.13","42,955.16","8,534.30","51,489.46","-49,073.67"
"2016","January","104,809.32","1,673.64","106,482.96","41,031.68","6,991.69","48,023.38","-58,459.59"
"2015","December","119,361.32","5,089.40","124,450.72","42,723.30","8,175.10","50,898.40","-73,552.32"
"2015","November","159,670.95","3,270.75","162,941.70","40,490.29","8,168.07","48,658.36","-114,283.34"
"2015","October","124,616.99","2,027.39","126,644.38","46,377.79","5,753.38","52,131.17","-74,513.20"
"2015","September","134,441.35","4,301.80","138,743.16","42,333.80","7,606.85","49,940.64","-88,802.51"
"2015","August","123,673.00","2,022.72","125,695.73","46,848.79","8,226.19","55,074.98","-70,620.75"
"2015","July","136,354.17","7,798.86","144,153.03","50,412.04","8,993.00","59,405.04","-84,747.99"
"2015","June","126,494.78","1,672.86","128,167.64","41,681.16","5,848.36","47,529.52","-80,638.12"
"2015","May","141,483.52","2,555.54","144,039.06","37,820.74","8,144.93","45,965.67","-98,073.38"
"2015","April","128,446.42","1,395.73","129,842.15","34,360.68","5,520.18","39,880.86","-89,961.29"
"2015","March","113,842.80","1,019.69","114,862.49","40,646.69","7,060.24","47,706.93","-67,155.56"
"2015","February","111,779.46","1,364.03","113,143.49","38,214.53","4,431.45","42,645.98","-70,497.51"
"2015","January","125,669.49","1,977.91","127,647.41","36,364.27","4,798.70","41,162.98","-86,484.43"
"2014","December","132,127.84","6,054.85","138,182.69","36,841.48","4,315.60","41,157.08","-97,025.61"
"2014","November","121,005.76","594.36","121,600.12","36,720.00","6,173.34","42,893.33","-78,706.79"
"2014","October","155,776.49","1,625.55","157,402.05","37,499.26","6,640.72","44,139.98","-113,262.07"
"2014","September","155,766.37","4,169.64","159,936.01","37,836.31","2,636.96","40,473.27","-119,462.74"
"2014","August","142,776.92","1,185.51","143,962.43","39,842.11","4,119.60","43,961.71","-100,000.72"
"2014","July","148,474.63","264.93","148,739.56","34,910.79","8,090.28","43,001.07","-105,738.50"
"2014","June","112,903.92","786.33","113,690.24","37,853.69","6,306.60","44,160.29","-69,529.95"
